,bond length,anion,icohp
1471,1.95027,F,-3.11128
1472,1.94468,F,-3.14974
1473,1.95027,F,-3.1165599999999998
1474,2.017,F,-2.59539
1475,2.03902,F,-2.48658
1476,1.94468,F,-3.15509
1477,1.95027,F,-3.1143099999999997
1478,2.01701,F,-2.60156
1479,2.03902,F,-2.48878
1480,2.03901,F,-2.49331
1481,2.01701,F,-2.59909
1482,1.94468,F,-3.1562900000000003
1483,1.95027,F,-3.11396
1484,2.03902,F,-2.48449
1485,2.017,F,-2.59112
1486,1.94468,F,-3.15008
1487,1.95027,F,-3.1144
1488,1.71326,O,-7.632770000000001
1489,1.80601,O,-5.68168
1490,1.83721,O,-5.12956
1491,2.04608,O,-2.86398
1492,1.75289,O,-6.74207
1493,1.78383,O,-6.10871
1494,1.83409,O,-5.20304
1495,1.88111,O,-4.53962
1496,1.89694,O,-4.48701
