r	exp	calc	diff
6.16	-3.39906	-3.18724	-0.21182
6.17	-3.42415	-3.25336	-0.17079
6.18	-3.43952	-3.31196	-0.12756
6.19	-3.44635	-3.36327	-0.08308
6.2	-3.44597	-3.40754	-0.03843
6.21	-3.43976	-3.44503	0.00527
6.22	-3.4291	-3.47597	0.04687
6.23	-3.41532	-3.50058	0.08526
6.24	-3.39961	-3.519	0.11939
6.25	-3.38302	-3.53131	0.14829
6.26	-3.36633	-3.53752	0.17119
6.27	-3.35012	-3.53756	0.18744
6.28	-3.33465	-3.53125	0.1966
6.29	-3.31991	-3.51838	0.19847
6.3	-3.3056	-3.49863	0.19303
6.31	-3.29115	-3.47165	0.1805
6.32	-3.27575	-3.43705	0.1613
6.33	-3.25837	-3.39444	0.13607
6.34	-3.23784	-3.34343	0.10559
6.35	-3.2129	-3.28369	0.07079
6.36	-3.18222	-3.21494	0.03272
6.37	-3.14452	-3.137	-0.00752
6.38	-3.09859	-3.04979	-0.0488
6.39	-3.04337	-2.95338	-0.08999
6.4	-2.978	-2.84798	-0.13002
6.41	-2.90185	-2.73396	-0.16789
6.42	-2.81454	-2.61183	-0.20271
6.43	-2.71603	-2.48229	-0.23374
6.44	-2.60652	-2.34616	-0.26036
6.45	-2.48655	-2.20439	-0.28216
6.46	-2.35691	-2.05807	-0.29884
6.47	-2.21867	-1.90836	-0.31031
6.48	-2.07307	-1.75647	-0.3166
6.49	-1.92155	-1.60366	-0.31789
6.5	-1.76564	-1.45118	-0.31446
6.51	-1.60692	-1.30023	-0.30669
6.52	-1.44697	-1.15195	-0.29502
6.53	-1.28733	-1.0074	-0.27993
6.54	-1.12938	-0.867489	-0.261891
6.55	-0.97438	-0.733009	-0.241371
6.56	-0.823379	-0.604581	-0.218798
6.57	-0.6772	-0.482668	-0.194532
6.58	-0.53643	-0.367559	-0.168871
6.59	-0.401412	-0.259382	-0.14203
6.6	-0.272252	-0.158108	-0.114144
6.61	-0.14884	-0.0635683	-0.0852717
6.62	-0.0308758	0.0245245	-0.0554003
6.63	0.0820875	0.106553	-0.0244655
6.64	0.190604	0.182968	0.007636
6.65	0.295284	0.25426	0.041024
6.66	0.396743	0.320928	0.075815
6.67	0.495549	0.383455	0.112094
6.68	0.592178	0.442275	0.149903
6.69	0.686969	0.497759	0.18921
6.7	0.780091	0.550187	0.229904
