ppm (expt), data (expt), ppm (sim), data (sim)
-416.92,0.5396,573.497,0.1939
-416.572,0.515,573.443,0.188
-416.224,0.4903,573.389,0.1819
-415.876,0.4656,573.335,0.1756
-415.527,0.4409,573.281,0.1691
-415.179,0.4162,573.227,0.1625
-414.831,0.3917,573.173,0.1558
-414.482,0.3674,573.118,0.149
-414.134,0.3436,573.064,0.142
-413.786,0.3202,573.01,0.135
-413.437,0.2976,572.956,0.128
-413.089,0.2757,572.902,0.1209
-412.741,0.2549,572.848,0.1138
-412.392,0.235,572.794,0.1068
-412.044,0.2163,572.74,0.0998
-411.696,0.1988,572.686,0.0929
-411.348,0.1825,572.632,0.086
-410.999,0.1673,572.578,0.0793
-410.651,0.1533,572.524,0.0728
-410.303,0.1403,572.47,0.0664
-409.954,0.1284,572.416,0.0601
-409.606,0.1175,572.362,0.0541
-409.258,0.1073,572.308,0.0483
-408.909,0.098,572.254,0.0428
-408.561,0.0893,572.2,0.0375
-408.213,0.0813,572.146,0.0325
-407.865,0.0737,572.092,0.0278
-407.516,0.0667,572.038,0.0234
-407.168,0.0602,571.984,0.0193
-406.82,0.054,571.93,0.0156
-406.471,0.0483,571.876,0.0123
-406.123,0.0429,571.822,9.25E-03
-405.775,0.0379,571.768,6.63E-03
-405.426,0.0333,571.714,4.38E-03
-405.078,0.0291,571.66,2.51E-03
-404.73,0.0252,571.606,1.04E-03
-404.381,0.0216,571.552,-4.06E-05
-404.033,0.0185,571.497,-7.26E-04
-403.685,0.0156,571.443,-1.02E-03
-403.337,0.0131,571.389,-9.21E-04
-402.988,0.0109,571.335,-4.36E-04
-402.64,9.02E-03,571.281,4.32E-04
-402.292,7.38E-03,571.227,1.68E-03
-401.943,5.99E-03,571.173,3.29E-03
-401.595,4.82E-03,571.119,5.26E-03
-401.247,3.84E-03,571.065,7.57E-03
-400.898,3.03E-03,571.011,0.0102
-400.55,2.37E-03,570.957,0.0132
-400.202,1.84E-03,570.903,0.0165
-399.854,1.41E-03,570.849,0.02
-399.505,1.07E-03,570.795,0.0238
-399.157,8.10E-04,570.741,0.0279
-398.809,6.05E-04,570.687,0.0322
-398.46,4.48E-04,570.633,0.0368
-398.112,3.28E-04,570.579,0.0415
-397.764,2.38E-04,570.525,0.0464
-397.415,1.71E-04,570.471,0.0514
-397.067,1.22E-04,570.417,0.0565
-396.719,8.61E-05,570.363,0.0618
-396.37,6.02E-05,570.309,0.0671
-396.022,4.17E-05,570.255,0.0725
-395.674,2.86E-05,570.201,0.0778
-395.326,1.94E-05,570.147,0.0832
-394.977,1.31E-05,570.093,0.0886
-394.629,8.72E-06,570.039,0.0939
-394.281,5.76E-06,569.985,0.0992
-393.932,3.77E-06,569.931,0.1043
-393.584,2.44E-06,569.877,0.1094
-393.236,1.57E-06,569.822,0.1143
-392.887,9.96E-07,569.768,0.119
-392.539,6.27E-07,569.714,0.1236
-392.191,3.91E-07,569.66,0.128
-391.843,2.42E-07,569.606,0.1321
-391.494,1.48E-07,569.552,0.136
-391.146,8.96E-08,569.498,0.1397
-390.798,5.38E-08,569.444,0.1431
-390.449,3.20E-08,569.39,0.1462
-390.101,1.88E-08,569.336,0.149
-389.753,1.10E-08,569.282,0.1515
-389.404,6.35E-09,569.228,0.1536
-389.056,3.63E-09,569.174,0.1555
-388.708,2.06E-09,569.12,0.157
-388.359,1.16E-09,569.066,0.1581
-388.011,6.44E-10,569.012,0.159
-387.663,3.55E-10,568.958,0.1594
-387.315,1.94E-10,568.904,0.1595
-386.966,1.05E-10,568.85,0.1593
-386.618,5.60E-11,568.796,0.1587
-386.27,2.97E-11,568.742,0.1577
-385.921,1.56E-11,568.688,0.1564
-385.573,8.13E-12,568.634,0.1548
-385.225,4.19E-12,568.58,0.1528
-384.876,2.14E-12,568.526,0.1505
-384.528,1.08E-12,568.472,0.1479
-384.18,5.45E-13,568.418,0.1449
-383.832,2.73E-13,568.364,0.1417
-383.483,1.36E-13,568.31,0.1381
-383.135,6.83E-14,568.256,0.1343
-382.787,3.38E-14,568.201,0.1302
-382.438,1.46E-14,568.147,0.1259
-382.09,9.96E-15,568.093,0.1214
-381.742,5.65E-15,568.039,0.1166
-381.393,3.83E-15,567.985,0.1116
-381.045,1.72E-15,567.931,0.1064
-380.697,1.83E-15,567.877,0.1011
-380.348,1.94E-15,567.823,0.0957
-380,1.89E-15,567.769,0.0901
-379.652,2.23E-16,567.715,0.0844
-379.304,1.26E-15,567.661,0.0786
-378.955,1.42E-15,567.607,0.0727
-378.607,1.62E-16,567.553,0.0668
-378.259,1.03E-15,567.499,0.0608
-377.91,-1.52E-16,567.445,0.0548
-377.562,9.86E-16,567.391,0.0488
-377.214,5.25E-16,567.337,0.0429
-376.865,-1.15E-15,567.283,0.0369
-376.517,1.77E-15,567.229,0.031
-376.169,1.35E-15,567.175,0.0252
-375.821,9.16E-16,567.121,0.0195
-375.472,1.94E-16,567.067,0.0139
-375.124,1.57E-15,567.013,8.34E-03
-374.776,2.26E-16,566.959,2.94E-03
-374.427,1.96E-16,566.905,-2.33E-03
-374.079,-1.00E-16,566.851,-7.45E-03
-373.731,3.62E-16,566.797,-0.0124
-373.382,1.47E-15,566.743,-0.0172
